	target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
8679	ENSRNOG00000013884	2.46910862269576	0.116103751785531	0.189038151455392	0.397595919597499	0.0720369773651875	0.00748220655431235	4.96652070699912	0.0795191839195004	0.0720369773651875	0.0346479536763588	0.0720369773651875	1
8680	ENSRNOG00000027988	2.46880764455869	0.116125987992465	0.189052573308931	0.225420841368918	0.0432541581567564	0.00183001011702708	6.10961155671489	0.0450841682737836	0.0432541581567564	0.0234715039258771	0.0432541581567564	1
8681	ENSRNOG00000005141	2.46842466569383	0.116154289195986	0.189076864488939	0.302702976652146	0.0581812424562002	0.00235935287422893	5.97331484472873	0.0605405953304292	0.0581812424562002	0.0237625625905567	0.0581812424562002	1
8682	ENSRNOG00000048256	2.46796332214256	0.116188391471668	0.189110592016372	0.129146624082525	0.0139461910023958	0.0118831338141091	4.44156495684666	0.0258293248165048	0.0139461910023958	0.0473716738563398	0.0473716738563398	1
8683	ENSRNOG00000000113	2.46688817828614	0.11626790845857	0.189117649372859	0.0264567861757991	-0.0063846511943587	0.0116760084295185	4.5286270836157	0.00529135723515987	0	0.0447697800032221	0.0447697800032221	1
8684	ENSRNOG00000008764	2.46760296193356	0.116215036801474	0.189117649372859	0.122539842659067	0.0234535291834997	0.00105443934831359	6.8816618368043	0.0245079685318135	0.0234535291834997	0.0263766546245783	0.0263766546245783	1
8685	ENSRNOG00000013217	2.46683010898178	0.116272204939182	0.189117649372859	0.0380086174208708	0.000575345348747683	0.00702637813542647	5.03149288600999	0.0076017234841741	0.000575345348747683	0.0334293014843283	0.0334293014843283	1
8686	ENSRNOG00000017277	2.46715926021211	0.116247853739967	0.189117649372859	0.96334039482709	0.162020468680355	0.0306476102850629	3.66173730208676	0.192668078965418	0.162020468680355	0.0758007089660061	0.162020468680355	1
8687	ENSRNOG00000042372	2.46681900513648	0.116273026519808	0.189117649372859	0.829748427332256	0.0338610475473447	0.132088637919106	2.27427629165108	0.165949685466451	0.0338610475473447	0.196099305451411	0.196099305451411	1
8688	ENSRNOG00000055277	2.46738173083852	0.116231398152906	0.189117649372859	0.0442087459471221	0.0055477569418117	0.00329399224761273	5.83325969588988	0.00884174918942446	0.0055477569418117	0.0242986004861708	0.0242986004861708	1
8689	ENSRNOG00000006763	2.46522878634508	0.116390754054044	0.189163788524551	0.0971773103042277	0.0154607334057808	0.00397472865506471	5.6699628806531	0.0194354620608456	0.0154607334057808	0.0253109998987977	0.0253109998987977	1
8690	ENSRNOG00000012138	2.46551930681091	0.116369236335799	0.189163788524551	0.0377859653190783	0.00158791907136263	0.00596927399245303	5.12035818152762	0.00755719306381579	0.00158791907136263	0.0318860686676837	0.0318860686676837	1
